prodotto_id,rank,anno,mese,mese_nome,periodo,kg_totali_storici,quota_globale_pct,storico_mese_kg,predizione_kg,adjustment_stagionale,variazione_pct,ricavo_lordo_stimato,ricavo_netto_stimato,metodo_globale
40002,8,2025,6,Giu,2025-06,133565.0,2.7352876653410076,4.348333333333333,4.214184817463696,1.1720136263242615,-3.0850559418084234,0.0,0.0,SARIMA
40002,8,2025,7,Lug,2025-07,133565.0,2.7352876653410076,3.295,3.673497460791259,0.8881069142365141,11.487024606715002,0.0,0.0,SARIMA
40002,8,2025,8,Ago,2025-08,133565.0,2.7352876653410076,2.55,2.2537073749879317,0.6873058061617939,-11.619318627924235,0.0,0.0,SARIMA
40002,8,2025,9,Set,2025-09,133565.0,2.7352876653410076,3.7,2.761667552009491,0.9972672481563284,-25.360336432175924,0.0,0.0,SARIMA
40002,8,2025,10,Ott,2025-10,133565.0,2.7352876653410076,4.8133333333333335,4.142277646523022,1.2973458615655298,-13.941600141488475,0.0,0.0,SARIMA
40002,8,2025,11,Nov,2025-11,133565.0,2.7352876653410076,3.6616666666666666,3.2347854776550524,0.9869352000898439,-11.658111670776904,0.0,0.0,SARIMA
40002,8,2025,12,Dic,2025-12,133565.0,2.7352876653410076,3.505,2.6424542464735428,0.944708568861603,-24.609008659813327,0.0,0.0,SARIMA
40004,9,2025,1,Gen,2025-01,133446.0,2.732850655404455,5.022,4.594093629079312,1.3547951980576411,-8.52063661729765,0.0,0.0,SARIMA
40004,9,2025,2,Feb,2025-02,133446.0,2.732850655404455,3.608,3.0991266224468212,0.9733375297873297,-14.104029311340883,0.0,0.0,SARIMA
40004,9,2025,3,Mar,2025-03,133446.0,2.732850655404455,4.308,3.2501721533888683,1.1621779596241175,-24.554963941762576,0.0,0.0,SARIMA
40004,9,2025,4,Apr,2025-04,133446.0,2.732850655404455,3.43,2.1493093653206516,0.9253181062002608,-37.33791937840666,0.0,0.0,SARIMA
40004,9,2025,5,Mag,2025-05,133446.0,2.732850655404455,3.882,3.1416684714849334,1.047255069466301,-19.070879147734843,0.0,0.0,SARIMA
40004,9,2025,6,Giu,2025-06,133446.0,2.732850655404455,3.86,3.740916840646194,1.0413200845285733,-3.0850559418084456,0.0,0.0,SARIMA
40004,9,2025,7,Lug,2025-07,133446.0,2.732850655404455,3.392,3.7816398746597715,0.9150667685805494,11.487024606714957,0.0,0.0,SARIMA
40004,9,2025,8,Ago,2025-08,133446.0,2.732850655404455,2.62,2.315573851948385,0.7068027516748348,-11.619318627924248,0.0,0.0,SARIMA
40004,9,2025,9,Set,2025-09,133446.0,2.732850655404455,4.1,3.0602262062807863,1.1060653747583291,-25.360336432175934,0.0,0.0,SARIMA
40004,9,2025,10,Ott,2025-10,133446.0,2.732850655404455,3.736,3.215141818713991,1.0078683512431994,-13.941600141488475,0.0,0.0,SARIMA
40004,9,2025,11,Nov,2025-11,133446.0,2.732850655404455,3.596,3.176774304318863,0.9701002652758419,-11.658111670776893,0.0,0.0,SARIMA
40004,9,2025,12,Dic,2025-12,133446.0,2.732850655404455,2.928,2.207448226440665,0.7898925408030214,-24.609008659813348,0.0,0.0,SARIMA
40042,10,2025,1,Gen,2025-01,128255.0,2.6265437765755317,3.5066666666666664,3.207876342620097,0.9842891115356127,-8.520636617297605,0.0,0.0,SARIMA
40042,10,2025,2,Feb,2025-02,128255.0,2.6265437765755317,3.63,3.118023735998327,1.0189076449261238,-14.104029311340849,0.0,0.0,SARIMA
